cid,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2
13800269,166.183997392654,2.5965,14,4,2,1,0,0,0,0.333333333333333,12,1,0,54.0874,22,0,0,0,0,0,0,4,1,0,0,22,0,0,0,0,82.52,9.08724562679953,1.01686270754189,7.93655117785424,10.0833333333333,5.61224489795918,104,103
13800270,202.644996523857,3.511,15,4,3,1,0,0,0,0.333333333333333,12,1,0,62.1644,24,1,0,0,1,0,0,4,1,0,0,23,0,0,0,0,82.52,8.85697549834975,0.368072578575867,23.0631223673842,13,7.40816326530612,105,103
13883472,137.141997694969,1.7579,11,4,1,0,0,0,0,0.1,10,1,0,42.3033,17,0,0,0,0,0,0,3,1,0,0,17,0,0,0,0,68.87,7.1295752781039,0.998437622342841,6.14073179792073,8.1,3.40828402366864,79,75
14101204,180.166996955872,1.4588,14,6,2,1,0,0,0,0.307692307692308,13,1,0,50.9157,21,0,0,0,0,0,0,4,2,0,0,21,0,0,0,0,97.97,8.46589447336145,1.01075873021182,7.37578169776215,11.0769230769231,5.671875,98,99
14155055,153.140997290611,1.5292,12,5,1,1,0,0,0,0.272727272727273,11,1,0,43.4179,18,0,0,0,0,0,0,3,2,0,0,18,0,0,0,0,64.11,6.94705363135466,1.01955190538555,5.81383026666757,9.09090909090909,4.79289940828402,83,77
14726136,166.139997243881,1.1778,12,6,2,0,0,0,0,0.166666666666667,12,1,0,44.1866,18,0,0,0,0,0,0,4,2,0,0,18,0,0,0,0,111.96,9.00386351989934,1.00746336286169,7.93716223518435,10.0833333333333,4.296875,82,84
14957188,180.229098592728,3.2981,17,4,1,1,0,0,0,0.230769230769231,13,1,0,63.1339,26,0,0,0,0,0,0,3,1,0,0,26,0,0,0,0,54.88,7.83325366361779,0.285917870374654,26.3968662866489,11.0769230769231,4.48148148148148,127,123
14957189,180.229098592728,3.2981,17,4,1,1,0,0,0,0.230769230769231,13,1,0,63.1339,26,0,0,0,0,0,0,3,1,0,0,26,0,0,0,0,54.88,7.81163180106107,0.280273207434186,26.8714896531642,11.0769230769231,4.48148148148148,127,123
17768039,202.01099729538,1.7127,8,4,1,0,0,0,0,0.1,10,1,0,41.8663,14,1,0,1,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.25627710076969,1.00739840222779,6.20298650933232,8.1,3.40828402366864,64,66
17840689,196.036996245384,2.9022,11,4,3,0,0,0,0,0.111111111111111,9,1,0,51.3773,18,2,0,0,2,0,0,3,1,0,0,16,0,0,0,0,68.87,7.01750300767627,0.077574736368087,89.4611905399038,13.5802469135802,6.69421487603306,65,63
17893952,166.115996837616,-0.4762,9,6,1,2,1,0,0,0.25,12,1,0,39.3804,16,0,0,0,0,0,0,3,3,0,0,16,0,0,0,0,95.01,7.62611474099181,1.00208444080563,6.61025162196989,10.0833333333333,4.88888888888889,74,78
20295780,238.471996426582,2.6742,9,4,2,0,0,0,0,0.1,10,1,0,50.3273,16,2,0,1,1,0,0,3,1,0,0,15,0,0,0,0,68.87,7.12168740552654,0.313187231902972,21.7393925424549,11,4.79289940828402,65,66
20608797,165.19599711895,2.8288,15,4,0,0,0,0,0,0.25,12,1,0,56.3635,23,0,0,0,0,0,0,3,1,0,0,23,0,0,0,0,46.09,9.0720527812539,1.08382647838958,7.37039227417081,10.0833333333333,4.88888888888889,111,103
21124992,265.053997039795,2.9117,12,4,1,0,0,0,0,0.1,10,1,0,58.2783,19,1,0,0,0,1,0,3,1,0,0,18,0,0,0,0,68.87,6.99124547356082,1.00775680755593,5.93743313976354,11,6.69421487603306,80,67
21286508,216.03799700737,2.1972,10,4,1,1,0,0,0,0.272727272727273,11,1,0,49.1459,17,1,0,1,0,0,0,3,1,0,0,17,0,0,0,0,54.88,7.71889735095833,1.01609017699462,6.59666565598455,9.09090909090909,4.79289940828402,80,79
21286523,171.586996793747,2.0411,10,4,1,1,0,0,0,0.272727272727273,11,1,0,46.0719,17,1,0,0,1,0,0,3,1,0,0,17,0,0,0,0,54.88,7.61721159229257,1.01567299740074,6.4996692949268,9.09090909090909,4.79289940828402,80,79
21468519,159.575997114182,1.9877,10,4,2,0,0,0,0,0.111111111111111,9,1,0,43.3003,16,1,0,0,1,0,0,3,1,0,0,15,0,0,0,0,68.87,7.01750300767627,0.324427296687955,20.630433318396,10,4.7603305785124,64,63
21578232,205.138994932175,2.4071,10,4,1,1,0,0,0,0.285714285714286,14,1,0,46.2739,20,3,0,0,0,0,3,3,1,0,0,20,0,0,0,0,54.88,8.40816591260041,1.01903797742422,7.25108199976355,12.0714285714286,5.18559556786704,98,103
21821668,139.113997578621,0.3116,8,4,1,1,0,0,0,0.1,10,1,0,38.5223,15,0,0,0,0,0,0,3,2,0,0,15,0,0,0,0,82.92,7.04039283606899,1.00761922917773,5.98715609249964,8.1,3.40828402366864,69,72
21918841,186.1269967556,0.9397,12,4,2,1,0,0,0,0.083333333333333,12,1,0,44.9669,19,0,0,0,0,0,0,4,4,0,0,18,2,0,0,0,132.24,7.27609046373366,1.00400723763038,6.24704981301369,13,7.40816326530612,78,75
21959006,163.139997601509,1.9808,9,4,0,1,0,0,0,0.166666666666667,12,1,0,45.7595,17,0,0,0,0,0,0,5,1,0,0,17,0,0,0,0,55.21,9.35995898735966,1.08447565815776,7.63086129868487,10.0833333333333,4.88888888888889,79,78
22662820,141.104997158051,1.0893,8,4,1,0,0,0,0,0.1,10,1,0,34.1243,14,1,0,0,0,0,1,3,1,0,0,14,0,0,0,0,68.87,6.97425440105788,1.011728758617,5.89340333726546,8.1,3.40828402366864,64,66
22662853,141.104997158051,1.0893,8,4,1,0,0,0,0,0.1,10,1,0,34.1243,14,1,0,0,0,0,1,3,1,0,0,14,0,0,0,0,68.87,7.04330428019247,1.00738617524222,5.99166263473781,8.1,3.40828402366864,64,66
22662861,159.094996333122,1.1054,7,4,1,0,0,0,0,0.090909090909091,11,1,0,33.0253,14,2,0,0,0,0,2,3,1,0,0,14,0,0,0,0,68.87,7.03606974413904,1.01258540775257,5.94861854641536,9.09090909090909,3.6,65,69
23288723,124.122997999191,0.7065,9,3,2,1,0,0,0,0.111111111111111,9,1,0,37.0807,15,0,0,0,0,0,0,3,1,0,0,15,0,0,0,0,70.12,7.05981393300209,1.00722216696441,6.00919237538138,7.11111111111111,3.2396694214876,68,69
39911818,161.1639970541,1.601,11,4,1,1,0,0,0,0.25,12,1,0,50.1089,19,0,0,0,0,0,0,3,1,0,0,19,0,0,0,0,54.88,8.1237239496447,1.01307580574176,7.01887075340488,10.0833333333333,5.61224489795918,87,87
45084317,151.16899740696,2.4647,13,4,1,0,0,0,0,0.181818181818182,11,1,0,49.2243,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,68.87,7.36425482706988,1.01123923546094,6.28240614963196,9.09090909090909,4.13265306122449,95,91
45084318,151.16899740696,2.4647,13,4,1,0,0,0,0,0.181818181818182,11,1,0,49.2243,20,0,0,0,0,0,0,3,1,0,0,20,0,0,0,0,68.87,9.10023789916914,1.0023861663241,8.07857490944943,9.09090909090909,4.13265306122449,95,91
45122953,179.178996682167,1.8735,14,5,1,1,0,0,0,0.307692307692308,13,1,0,54.2609,22,0,0,0,0,0,0,3,2,0,0,22,0,0,0,0,71.95,7.05856148635528,1.01509002408651,5.95363102667405,11.0769230769231,5.671875,105,103
46197014,122.115432103413,1.0732,9,4,1,0,0,0,0,0.111111111111111,9,1,0,35.2233,14,0,0,0,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.03105623782363,1.00780819603227,5.97658172011778,7.11111111111111,3.2396694214876,63,63
46782812,127.126412196859,1.0732,9,4,1,0,0,0,0,0.111111111111111,9,1,0,35.2233,14,0,0,0,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.01750300767627,0.999926219198474,6.01802080287624,7.11111111111111,3.2396694214876,63,63
53971361,180.166996955872,1.4588,13,5,2,1,0,0,0,0.307692307692308,13,1,0,52.1734,21,0,0,0,0,0,0,4,2,0,0,21,0,0,0,0,99.59,7.87592354515195,1.01678400227323,6.74591607218812,11.0769230769231,5.671875,98,99
57347701,126.133303268341,1.0732,9,4,1,0,0,0,0,0.111111111111111,9,1,0,35.2233,14,0,0,0,0,0,0,3,1,0,0,14,0,0,0,0,68.87,7.01750300767627,0.999926219198474,6.01802080287624,7.11111111111111,3.2396694214876,63,63
